prefix,URI,Title,Languages,VersionName,VersionDate,Link,Folder
ebucore,http://www.ebu.ch/metadata/ontologies/ebucore/ebucore,EBU Ontology, ch en ie nl no ,v1.6,2015-08-04,https://lov.linkeddata.es/dataset/lov/vocabs/ebucore/versions/2015-08-04.n3,LOV_Full
eccrev,https://vocab.eccenca.com/revision/,RDF changes and revisions vocabulary, en ,v2016-03-14,2016-03-14,https://lov.linkeddata.es/dataset/lov/vocabs/eccrev/versions/2016-03-14.n3,LOV_Full
ecfo,https://w3id.org/ecfo,The Emission Conversion Factor Ontology, en ,v2023-05-08,2023-05-08,https://lov.linkeddata.es/dataset/lov/vocabs/ecfo/versions/2023-05-08.n3,LOV_Full
eclap,http://www.eclap.eu/schema/eclap/,"ECLAP, Performing Arts Vocabulary", en ,v1.0,2014-09-04,https://lov.linkeddata.es/dataset/lov/vocabs/eclap/versions/2014-09-04.n3,LOV_Full
ecpo,http://purl.org/ontology/ecpo,Enumeration and Chronology of Periodicals Ontology, de en ,rev126,2014-08-07,https://lov.linkeddata.es/dataset/lov/vocabs/ecpo/versions/2014-08-07.n3,LOV_Full
ecrm,http://erlangen-crm.org/current/,Erlangen CRM / OWL, en ,v6.2.1,2017-01-03,https://lov.linkeddata.es/dataset/lov/vocabs/ecrm/versions/2017-01-03.n3,LOV_Full
edac,http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-edac.owl,ELSEWeb EDAC Ontology, en ,v1.2,2015-09-24,https://lov.linkeddata.es/dataset/lov/vocabs/edac/versions/2015-09-24.n3,LOV_Full
edm,http://www.europeana.eu/schemas/edm/,Europeana Data Model vocabulary, en ,v5.2.4,2013-05-20,https://lov.linkeddata.es/dataset/lov/vocabs/edm/versions/2013-05-20.n3,LOV_Full
edu,https://schema.edu.ee/,Education Ontology, en et ,v2020-02-14,2020-02-14,https://lov.linkeddata.es/dataset/lov/vocabs/edu/versions/2020-02-14.n3,LOV_Full
edupro,http://ns.inria.fr/semed/eduprogression/,EduProgression Ontology, en fr ,v0.01,2016-09-13,https://lov.linkeddata.es/dataset/lov/vocabs/edupro/versions/2016-09-13.n3,LOV_Full
eem,http://purl.org/eem,The EPCIS Event Model, ,v1.1,2013-07-16,https://lov.linkeddata.es/dataset/lov/vocabs/eem/versions/2013-07-16.n3,LOV_Full
eeo,https://w3id.org/eeo,Experimental Evaluation Ontology, en ,v2020-12-01,2020-12-01,https://lov.linkeddata.es/dataset/lov/vocabs/eeo/versions/2020-12-01.n3,LOV_Full
ei2a,https://opendata.aragon.es/def/ei2a/ei2a.owl,"Aragon Interoperable Information Structure Ontology
EI2A", en es ,v2.0.3,2021-10-21,https://lov.linkeddata.es/dataset/lov/vocabs/ei2a/versions/2021-10-21.n3,LOV_Full
